num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         1;  0.0; 1;     3;  0.6795;  100.0;  100.0;  6.31e-16
         1;  0.0; 3;     3;  0.1443;  100.0;  100.0;  5.58e-16
         1;  0.0; 7;     4;  0.0143;   99.6;  100.0;  6.07e-01
         1;  1.0; 1;    91;  0.5966;  100.0;  100.0;  3.40e+00
         1;  1.0; 3;    20;  0.2262;  100.0;  100.0;  3.40e+00
         1;  1.0; 7;  1000;  0.1388;  100.0;  100.0;  1.10e+01
         1; 10.0; 1;    49;  0.6904;  100.0;  100.0;  1.41e+01
         1; 10.0; 3;    35;  0.3086;  100.0;  100.0;  1.41e+01
         1; 10.0; 7;  1000;  0.1073;   48.4;   91.6;       Inf
         2;  0.0; 1;    59;  0.2231;  100.0;   99.6;  5.49e-07
         2;  0.0; 3;    83;  0.4144;  100.0;   99.6;  2.52e-07
         2;  0.0; 7;    49;  0.0040;  100.0;   99.2;  1.13e-01
         2;  1.0; 1;   217;  0.7253;  100.0;   99.2;  6.61e+00
         2;  1.0; 3;    24;  0.1483;  100.0;   99.2;  6.61e+00
         2;  1.0; 7;  1000;  0.0643;   95.2;   88.8;  1.87e+01
         2; 10.0; 1;    84;  0.2982;   98.0;   92.8;  2.13e+01
         2; 10.0; 3;    41;  0.1813;   98.0;   92.8;  2.13e+01
         2; 10.0; 7;  1000;  0.0623;   95.2;   96.8;       Inf
         3;  0.0; 1;  1000;  3.2261;  100.0;   98.0;  8.21e-05
         3;  0.0; 3;    15;  0.1605;  100.0;   98.0;  1.96e-34
         3;  0.0; 7;   111;  0.0079;   99.2;   99.6;  1.57e+00
         3;  1.0; 1;   430;  1.3826;  100.0;   99.2;  1.07e+01
         3;  1.0; 3;    31;  0.1666;  100.0;   99.2;  1.07e+01
         3;  1.0; 7;  1000;  0.0658;   96.4;   96.0;  2.74e+01
         3; 10.0; 1;  1000;  2.1889;   98.8;   98.8;  2.99e+01
         3; 10.0; 3;    40;  0.2090;   98.8;   98.8;  2.99e+01
         3; 10.0; 7;  1000;  0.0787;   53.2;    6.8;       Inf
         4;  0.0; 1;     3;  0.0510;  100.0;  100.0;  8.19e-14
         4;  0.0; 3;     3;  0.0517;  100.0;  100.0;  3.77e-14
         4;  0.0; 7;     4;  0.0004;  100.0;   98.4;  7.96e-02
         4;  1.0; 1;    97;  0.3157;  100.0;  100.0;  3.33e+00
         4;  1.0; 3;    20;  0.1396;  100.0;  100.0;  3.33e+00
         4;  1.0; 7;  1000;  0.0734;  100.0;  100.0;  1.05e+01
         4; 10.0; 1;    39;  0.1771;  100.0;  100.0;  1.36e+01
         4; 10.0; 3;    34;  0.1690;  100.0;  100.0;  1.36e+01
         4; 10.0; 7;  1000;  0.0697;   88.0;   96.0;       Inf
         5;  0.0; 1;   109;  0.3041;  100.0;  100.0;  5.60e-07
         5;  0.0; 3;    15;  0.1135;  100.0;   98.4;  1.30e-25
         5;  0.0; 7;   171;  0.0109;  100.0;   99.6;  6.53e-03
         5;  1.0; 1;   176;  0.5265;  100.0;  100.0;  4.51e+00
         5;  1.0; 3;    29;  0.1454;  100.0;  100.0;  4.51e+00
         5;  1.0; 7;  1000;  0.0626;  100.0;  100.0;  1.45e+01
         5; 10.0; 1;    78;  0.3025;  100.0;  100.0;  1.77e+01
         5; 10.0; 3;    35;  0.1939;  100.0;  100.0;  1.77e+01
         5; 10.0; 7;  1000;  0.0851;   46.8;   88.8;       Inf
         6;  0.0; 1;   491;  1.5355;  100.0;   99.6;  9.56e-07
         6;  0.0; 3;    17;  0.0955;  100.0;   97.6;  1.05e-12
         6;  0.0; 7;   150;  0.0113;  100.0;   99.6;  4.26e-02
         6;  1.0; 1;   268;  0.8007;  100.0;  100.0;  6.39e+00
         6;  1.0; 3;    27;  0.1476;  100.0;  100.0;  6.39e+00
         6;  1.0; 7;  1000;  0.0703;   99.6;   99.6;  1.84e+01
         6; 10.0; 1;    84;  0.2874;  100.0;  100.0;  2.12e+01
         6; 10.0; 3;    43;  0.1929;  100.0;  100.0;  2.12e+01
         6; 10.0; 7;  1000;  0.0624;   96.4;   92.8;       Inf
         7;  0.0; 1;     3;  0.0610;  100.0;   99.6;  1.75e-14
         7;  0.0; 3;     3;  0.0664;  100.0;   99.6;  2.18e-14
         7;  0.0; 7;     6;  0.0008;  100.0;   99.6;  2.18e-01
         7;  1.0; 1;   121;  0.3929;  100.0;  100.0;  3.81e+00
         7;  1.0; 3;    19;  0.1186;  100.0;  100.0;  3.81e+00
         7;  1.0; 7;  1000;  0.0717;  100.0;   99.2;  1.19e+01
         7; 10.0; 1;    56;  0.2202;  100.0;   99.6;  1.50e+01
         7; 10.0; 3;    39;  0.1904;  100.0;   99.6;  1.50e+01
         7; 10.0; 7;  1000;  0.0633;  100.0;   99.6;       Inf
         8;  0.0; 1;  1000;  2.7619;  100.0;   95.6;  1.21e-01
         8;  0.0; 3;    21;  0.1018;  100.0;   91.2;  1.77e-11
         8;  0.0; 7;   937;  0.0661;   98.8;   98.4;  2.45e+00
         8;  1.0; 1;   712;  2.0493;   98.8;   98.0;  1.41e+01
         8;  1.0; 3;    31;  0.2494;   98.8;   98.0;  1.41e+01
         8;  1.0; 7;  1000;  0.0835;   90.0;   86.0;  3.14e+01
         8; 10.0; 1;  1000;  2.0399;   96.4;   94.4;  3.35e+01
         8; 10.0; 3;    39;  0.1754;   96.4;   94.4;  3.35e+01
         8; 10.0; 7;  1000;  0.0615;   47.6;   92.8;       Inf
         9;  0.0; 1;  1000;  2.7457;  100.0;   96.0;  2.26e-04
         9;  0.0; 3;    17;  0.1398;  100.0;   90.4;  7.83e-28
         9;  0.0; 7;  1000;  0.0662;   45.2;   87.6;  1.37e+02
         9;  1.0; 1;   426;  1.2066;   99.6;   98.0;  9.61e+00
         9;  1.0; 3;    29;  0.1399;   99.6;   98.0;  9.61e+00
         9;  1.0; 7;  1000;  0.0658;   98.4;   97.2;  2.48e+01
         9; 10.0; 1;   132;  0.4165;   98.4;   98.0;  2.76e+01
         9; 10.0; 3;    41;  0.1815;   98.4;   98.0;  2.76e+01
         9; 10.0; 7;  1000;  0.0658;   90.8;   88.0;       Inf
         0;  0.0; 1;   643;  1.8008;  100.0;   99.6;  1.25e-06
         0;  0.0; 3;    14;  0.1329;  100.0;   98.0;  4.34e-29
         0;  0.0; 7;    54;  0.0038;  100.0;   99.6;  2.43e-01
         0;  1.0; 1;   351;  1.2022;   99.6;  100.0;  7.77e+00
         0;  1.0; 3;    29;  0.1637;   99.6;  100.0;  7.77e+00
         0;  1.0; 7;  1000;  0.0625;   99.2;   98.4;  2.23e+01
         0; 10.0; 1;   126;  0.4289;  100.0;  100.0;  2.50e+01
         0; 10.0; 3;    35;  0.1884;  100.0;  100.0;  2.50e+01
         0; 10.0; 7;  1000;  0.0640;   46.8;   89.6;       Inf
